link,queue,start,end,cycle
"(0, 4)",0,4000,8000,1000000
"(0, 4)",0,504000,508000,1000000
"(0, 4)",0,9600,19200,1000000
"(0, 4)",0,1600,3200,1000000
"(0, 4)",0,201600,203200,1000000
"(0, 4)",0,401600,403200,1000000
"(0, 4)",0,601600,603200,1000000
"(0, 4)",0,801600,803200,1000000
"(1, 0)",0,0,4000,1000000
"(1, 0)",0,500000,504000,1000000
"(2, 0)",0,0,9600,1000000
"(3, 0)",0,0,1600,1000000
"(3, 0)",0,200000,201600,1000000
"(3, 0)",0,400000,401600,1000000
"(3, 0)",0,600000,601600,1000000
"(3, 0)",0,800000,801600,1000000
"(4, 5)",0,8000,12000,1000000
"(4, 5)",0,508000,512000,1000000
"(4, 6)",0,19200,28800,1000000
"(4, 7)",0,3200,4800,1000000
"(4, 7)",0,203200,204800,1000000
"(4, 7)",0,403200,404800,1000000
"(4, 7)",0,603200,604800,1000000
"(4, 7)",0,803200,804800,1000000
